sport;спорт
race;гонка
seat;сиденье (место)
ball;мяч
score;счет (в игре)
turn;ход (напр. в игре)
fan;болельщик (поклонник)
run (running);бег
exercise;упражнение
workout, training;тренировка
athlete;спортсмен
basketball;баскетбол
football;футбол
soccer;футбол
hockey;хоккей
chess;шахматы
league;лига
championship;чемпионат
round;раунд
match;матч
champion;чемпион
tournament;турнир
game;игра
stake, bet;ставка
winner;победитель
loser;проигравший
aerobics;аэробика
American football;американский футбол
archery;стрельба из лука
athletics;лёгкая атлетика
badminton;бадминтон
baseball;бейсбол
basketball;баскетбол
beach volleyball;пляжный волейбол
bowls;игра в шары
boxing;бокс
canoeing;гребля на байдарках и каноэ
climbing;альпинизм
cricket;крикет
cycling;езда на велосипеде
darts;дротики
diving;прыжки в воду
fishing;рыбная ловля
football;футбол
go-karting;картинг
golf;гольф
gymnastics;гимнастика
handball;гандбол
hiking;пешие прогулки на природе
hockey;хоккей
horse racing;скачки
horse riding;конный спорт
hunting;охота
ice hockey;хоккей на льду
ice skating;фигурное катание
inline skating или rollerblading;катание на роликовых коньках
jogging;бег трусцой
judo;дзюдо
karate;каратэ
kick boxing;кик-бокс
lacrosse;лакросс (игра с мячом и ракетками-клюшками)
martial arts;боевые искусства
motor racing;гонки
mountaineering;альпинизм
netball;нетбол
pool;пул (вид бильярдной игры)
rowing;гребля
rugby;регби
running;бег
sailing;плавание
scuba diving;подводное плавание со скубой
shooting;стрельба
skateboarding;скейтбординг
skiing;лыжный спорт
snooker;снукер (вид бильярдной игры)
snowboarding;сноуборд
squash;сквош
surfing;сёрфинг
swimming;плавание
table tennis;настольный теннис
ten-pin bowling;боулинг
tennis;теннис
volleyball;волейбол
walking;ходьба
water polo;водное поло
water skiing;водные лыжи
weightlifting;поднятие тяжестей
windsurfing;виндсёрфинг
wrestling;борьба
yoga;йога
badminton racquet;ракетка для игры в бадминтон
ball;мяч
baseball bat;бейсбольная бита
cricket bat;бита для игры в крикет
boxing glove;перчатки для бокса
fishing rod;удочка
football;футбольный мяч
football boots;бутсы
golf club;клюшка для игры в гольф
hockey stick;хоккейная клюшка
ice skates;коньки
pool cue;кий
rugby ball;мяч для игры в регби
running shoes;кроссовки
skateboard;скейтборд
skis;лыжи
squash racquet;ракетка для игры в сквош
tennis racquet;теннисная ракетка
booking;нарушение правил, за которое игрок получает жёлтую карточку
corner kick или corner;угловой удар
crossbar или bar;перекладина
fan;фанат
foul;нарушение
football club;футбольный клуб
free kick;штрафной удар
goal;гол
goal kick;удар от ворот
goalkeeper;вратарь
goalpost или post;ворота
half-way line;средняя линия
half-time;тайм
header;игра головой
linesman;судья на линии
net;сетка
offside;офсайд, положение вне игры
pass;пас
player;игрок
penalty;пенальти
penalty area;шрафная площдь
penalty spot;11-метровая отметка, с которой бьют пенальти
red card;красная карточка
referee;судья
shot;удар
supporter;болельщик
tackle;перехватывание мяча
throw-in;вброс мяча
touchline;боковая линия поля
yellow card;жёлтая карточка
World Cup;Кубок Мира
to kick the ball;бить по мячу
to head the ball;отбить мяч головой
to pass the ball;передать мяч
to score a goal;забить гол
to send off;удалить с поля
to book;давать жёлтую карточку
to be sent off;быть удалённым с поля
to shoot;ударить (мяч)
to take a penalty;бить пенальти
boxing ring;боксёрский ринг
cricket ground;крикетная площадка
football pitch;футбольное поле
golf course;площадка для игры в гольф
gym;тренажёрный зал
ice rink;каток
racetrack;ипподром
running track;беговая дорожка
squash court;площадка для игры в сквош
swimming pool;бассейн
tennis court;теннисный корт
stand;трибуна
to play;играть
to win;выиграть
to lose;проиграть
to draw;сыграть вничью
to watch;наблюдать
game;игра
fixture;назначенный день спортивных соревнований
match;матч
competition;состязание
league table;табло
score;счёт, количество очков
result;результат
winner;победитель
loser;проигравший
opponent;соперник
umpire;судья
spectator;наблюдатель
win;выигрыш
loss;проигрыш
victory;победа
defeat;поражение
draw;ничья
to play away;играть "в гостях" или не на своём поле
to play at home;играть на свом поле
Olympic Games;олимпийские игры