travelling;путешествие
to be fond of travelling;любить путешествовать
journey;длительное путешествие ( по суше)
trip;поездка (короткая)
two-day trip;двухдневная поездка
tour;поездка
package tour;путешествие по тур. путевке
cruise;круиз
voyage;путешествие по морю
to drive;поездка на машине
flight;полет
hitchhike;путешествие автостопом
to go hitchhiking;отправиться в путешествие автостопом
to go on a journey;отправиться в путешествие
travel agency;туристическое агентство
to travel (go) abroad;путешествовать (ехать) за границу
to get to;добраться
to arrive in;прибыть в (большой
stay in a hotel;остановиться в отеле
destination;место назначения (конечная цель)
single (return) ticket;билет в один конец (туда-обратно)
to book tickets;заказать билеты
luggage (baggage);багаж
suitcase;чемодан
rucksack (backpack);рюкзак (туристический рюкзак)
bag;сумка
porter;носильщик
lost and found office;бюро находок
left luggage office;камера хранения
information desk;справочное бюро
to pack bags (luggage);упаковывать сумки (багаж)
to change to;пересаживаться на
to see smb off;провожать кого-либо
to wave smb;махать кому-нибудь на прощанье
to wave smb a kiss;послать воздушный поцелуй